Ad group,Campaign,Ad group type,Ad group status
a plus residence,v1_Минск_Турция,Standard,Enabled
abel hotel,v1_Минск_Турция,Standard,Enabled
abella hotel,v1_Минск_Турция,Standard,Enabled
acanthus & cennet barut collection,v1_Минск_Турция,Standard,Enabled
acar hotel,v1_Минск_Турция,Standard,Enabled
acra hotel,v1_Минск_Турция,Standard,Enabled
acropol beach hotel,v1_Минск_Турция,Standard,Enabled
adaburnu golmar beach,v1_Минск_Турция,Standard,Enabled
adalin resort hotel,v1_Минск_Турция,Standard,Enabled
adalin resort kemer,v1_Минск_Турция,Standard,Enabled
adalya art side,v1_Минск_Турция,Standard,Enabled
adalya artside hotel,v1_Минск_Турция,Standard,Enabled
adalya elite hotel,v1_Минск_Турция,Standard,Enabled
adalya elite lara,v1_Минск_Турция,Standard,Enabled
adalya ocean deluxe,v1_Минск_Турция,Standard,Enabled
adalya resort & spa,v1_Минск_Турция,Standard,Enabled
adalya resort hotel,v1_Минск_Турция,Standard,Enabled
adalya resort&spa,v1_Минск_Турция,Standard,Enabled
adalya resort,v1_Минск_Турция,Standard,Enabled
adam & eve hotel,v1_Минск_Турция,Standard,Enabled
adam & eve,v1_Минск_Турция,Standard,Enabled
adin beach hotel,v1_Минск_Турция,Standard,Enabled
admiral hotel,v1_Минск_Турция,Standard,Enabled
adonis hotel antalya,v1_Минск_Турция,Standard,Enabled
adonis hotel,v1_Минск_Турция,Standard,Enabled
adora calma beach hotel,v1_Минск_Турция,Standard,Enabled
adora golf resort hotel,v1_Минск_Турция,Standard,Enabled
adora golf resort,v1_Минск_Турция,Standard,Enabled
adora hotel,v1_Минск_Турция,Standard,Enabled
adora resort hotel,v1_Минск_Турция,Standard,Enabled
adrina beach resort,v1_Минск_Турция,Standard,Enabled
aegean park hotel,v1_Минск_Турция,Standard,Enabled
aegean park,v1_Минск_Турция,Standard,Enabled
aes club hotel,v1_Минск_Турция,Standard,Enabled
afytos bodrum city,v1_Минск_Турция,Standard,Enabled
afytos bodrum,v1_Минск_Турция,Standard,Enabled
agan hotel,v1_Минск_Турция,Standard,Enabled
agon hotel kemer,v1_Минск_Турция,Standard,Enabled
agon hotel,v1_Минск_Турция,Standard,Enabled
ajwa hotel sultanahmet,v1_Минск_Турция,Standard,Enabled
ajwa hotel,v1_Минск_Турция,Standard,Enabled
akasia resort hotel,v1_Минск_Турция,Standard,Enabled
akasia resort,v1_Минск_Турция,Standard,Enabled
