Keyword,Ad group,Match type,Campaign,Campaign type,Bid strategy type,Keyword status
a plus residence,a plus residence,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
abel hotel,abel hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
abella hotel,abella hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
acanthus & cennet barut collection,acanthus & cennet barut collection,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
acar hotel,acar hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
acra hotel,acra hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
acropol beach hotel,acropol beach hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adaburnu golmar beach,adaburnu golmar beach,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adalin resort hotel,adalin resort hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adalin resort kemer,adalin resort kemer,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adalya art side,adalya art side,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adalya artside hotel,adalya artside hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adalya elite hotel,adalya elite hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adalya elite lara,adalya elite lara,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adalya ocean deluxe,adalya ocean deluxe,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adalya resort & spa,adalya resort & spa,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adalya resort hotel,adalya resort hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adalya resort&spa,adalya resort&spa,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adalya resort,adalya resort,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adam & eve hotel,adam & eve hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adam & eve,adam & eve,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adin beach hotel,adin beach hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
admiral hotel,admiral hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adonis hotel antalya,adonis hotel antalya,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adonis hotel,adonis hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adora calma beach hotel,adora calma beach hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adora golf resort hotel,adora golf resort hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adora golf resort,adora golf resort,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adora hotel,adora hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adora resort hotel,adora resort hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
adrina beach resort,adrina beach resort,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
aegean park hotel,aegean park hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
aegean park,aegean park,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
aes club hotel,aes club hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
afytos bodrum city,afytos bodrum city,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
afytos bodrum,afytos bodrum,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
agan hotel,agan hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
agon hotel kemer,agon hotel kemer,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
agon hotel,agon hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
ajwa hotel sultanahmet,ajwa hotel sultanahmet,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
ajwa hotel,ajwa hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akasia resort hotel,akasia resort hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akasia resort,akasia resort,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akbulut hotel & spa,akbulut hotel & spa,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akbulut hotel,akbulut hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akdeniz beach hotel,akdeniz beach hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akdora resort hotel,akdora resort hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akgun hotel beyazit,akgun hotel beyazit,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akgun hotel laleli,akgun hotel laleli,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akgun hotel,akgun hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akgun istanbul hotel,akgun istanbul hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akgun istanbul,akgun istanbul,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akka alinda hotel,akka alinda hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akka antedon hotel',akka antedon hotel',Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akka antedon hotel,akka antedon hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akka claros hotel,akka claros hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akka hotel alinda,akka hotel alinda,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akka hotel antedon,akka hotel antedon,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akka hotel claros,akka hotel claros,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akka hotels alinda,akka hotels alinda,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akka hotels antedon residence,akka hotels antedon residence,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akka hotels antedon,akka hotels antedon,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akka hotels claros,akka hotels claros,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akka lush hotel,akka lush hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akka residence,akka residence,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akra barut,akra barut,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akra hotel,akra hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akra v hotel,akra v hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akropolis medusa hotel,akropolis medusa hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
akvaryum beach hotel,akvaryum beach hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
aladdin beach resort hurghada,aladdin beach resort hurghada,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
aladdin beach resort,aladdin beach resort,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
alaiye kleopatra hotel,alaiye kleopatra hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
alaiye resort & spa hotel,alaiye resort & spa hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
alaiye resort,alaiye resort,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
alan xafira deluxe resort & spa,alan xafira deluxe resort & spa,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
alan xafira deluxe resort,alan xafira deluxe resort,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
alanya risus park hotel,alanya risus park hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
alba cave hotel,alba cave hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
alba queen hotel,alba queen hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
alba queen,alba queen,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
alba resort hotel side,alba resort hotel side,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
alba resort hotel,alba resort hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
alba royal hotel side,alba royal hotel side,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
alba royal hotel,alba royal hotel,Phrase match,v1_Минск_Турция,Search,Maximize clicks,Enabled
albatros alf leila wa leila,albatros alf leila wa leila,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros amwaj abu soma,albatros amwaj abu soma,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aqua blu resort hrg,albatros aqua blu resort hrg,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aqua blu resort hurghada,albatros aqua blu resort hurghada,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aqua blu resort sharm el sheikh,albatros aqua blu resort sharm el sheikh,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aqua blu resort,albatros aqua blu resort,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aqua blu sharm el sheikh,albatros aqua blu sharm el sheikh,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aqua blue,albatros aqua blue,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aqua park hurghada,albatros aqua park hurghada,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aqua park sharm el sheikh,albatros aqua park sharm el sheikh,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aqua park sharm,albatros aqua park sharm,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aqua park,albatros aqua park,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aqua vista resort & spa,albatros aqua vista resort & spa,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aqua vista resort,albatros aqua vista resort,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aqua vista,albatros aqua vista,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aquapark resort hurghada,albatros aquapark resort hurghada,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
albatros aquapark sharm el sheikh,albatros aquapark sharm el sheikh,Phrase match,v1_Минск_Египет,Search,Maximize clicks,Enabled
