Ad group,Headline 1,Headline 2,Headline 3,Description,Description 2,Campaign,Ad type,Ad status,Final URL,Path 1,Path 2
a plus residence,"Горящие туры — Турция","A plus residence","3 звезды","Турция, 3 звезды. Вылеты из г. Минск. Цены на ближайшие даты.","Мы сравниваем цены туроператоров и сервисов само бронирования. Узнайте, где дешевле!",v1_Минск_Турция,Expanded text ad,Enabled,https://xn--c1aeixkcni4cza1b.com/?city=%D0%9C%D0%B8%D0%BD%D1%81%D0%BA&country=%D0%A2%D1%83%D1%80%D1%86%D0%B8%D1%8F&hotel=A%20plus%20residence&category=3,Подбор_Тура,Без_Агентств
abel hotel,"Горящие туры — Турция","Abel hotel","3 звезды","Турция, 3 звезды. Вылеты из г. Минск. Цены на ближайшие даты.","Мы сравниваем цены туроператоров и сервисов само бронирования. Узнайте, где дешевле!",v1_Минск_Турция,Expanded text ad,Enabled,https://xn--c1aeixkcni4cza1b.com/?city=%D0%9C%D0%B8%D0%BD%D1%81%D0%BA&country=%D0%A2%D1%83%D1%80%D1%86%D0%B8%D1%8F&hotel=Abel%20hotel&category=3,Подбор_Тура,Без_Агентств
abella hotel,"Горящие туры — Турция","Abella hotel","3 звезды","Турция, 3 звезды. Вылеты из г. Минск. Цены на ближайшие даты.","Мы сравниваем цены туроператоров и сервисов само бронирования. Узнайте, где дешевле!",v1_Минск_Турция,Expanded text ad,Enabled,https://xn--c1aeixkcni4cza1b.com/?city=%D0%9C%D0%B8%D0%BD%D1%81%D0%BA&country=%D0%A2%D1%83%D1%80%D1%86%D0%B8%D1%8F&hotel=Abella%20hotel&category=3,Подбор_Тура,Без_Агентств
acanthus & cennet barut collection,"Горящие туры — Турция"," Acanthus & cennet barut"," collection","Турция, 5 звёзд. Вылеты из г. Минск. Цены на ближайшие даты.","Мы сравниваем цены туроператоров и сервисов само бронирования. Узнайте, где дешевле!",v1_Минск_Турция,Expanded text ad,Enabled,https://xn--c1aeixkcni4cza1b.com/?city=%D0%9C%D0%B8%D0%BD%D1%81%D0%BA&country=%D0%A2%D1%83%D1%80%D1%86%D0%B8%D1%8F&hotel=Acanthus%20%26%20cennet%20barut%20collection&category=5,Подбор_Тура,Без_Агентств
acar hotel,"Горящие туры — Турция","Acar hotel","4 звезды","Турция, 4 звезды. Вылеты из г. Минск. Цены на ближайшие даты.","Мы сравниваем цены туроператоров и сервисов само бронирования. Узнайте, где дешевле!",v1_Минск_Турция,Expanded text ad,Enabled,https://xn--c1aeixkcni4cza1b.com/?city=%D0%9C%D0%B8%D0%BD%D1%81%D0%BA&country=%D0%A2%D1%83%D1%80%D1%86%D0%B8%D1%8F&hotel=Acar%20hotel&category=4,Подбор_Тура,Без_Агентств
acra hotel,"Горящие туры — Турция","Acra hotel","3 звезды","Турция, 3 звезды. Вылеты из г. Минск. Цены на ближайшие даты.","Мы сравниваем цены туроператоров и сервисов само бронирования. Узнайте, где дешевле!",v1_Минск_Турция,Expanded text ad,Enabled,https://xn--c1aeixkcni4cza1b.com/?city=%D0%9C%D0%B8%D0%BD%D1%81%D0%BA&country=%D0%A2%D1%83%D1%80%D1%86%D0%B8%D1%8F&hotel=Acra%20hotel&category=3,Подбор_Тура,Без_Агентств
acropol beach hotel,"Горящие туры — Турция","Acropol beach hotel","3 звезды","Турция, 3 звезды. Вылеты из г. Минск. Цены на ближайшие даты.","Мы сравниваем цены туроператоров и сервисов само бронирования. Узнайте, где дешевле!",v1_Минск_Турция,Expanded text ad,Enabled,https://xn--c1aeixkcni4cza1b.com/?city=%D0%9C%D0%B8%D0%BD%D1%81%D0%BA&country=%D0%A2%D1%83%D1%80%D1%86%D0%B8%D1%8F&hotel=Acropol%20beach%20hotel&category=3,Подбор_Тура,Без_Агентств
adaburnu golmar beach,"Горящие туры — Турция","Adaburnu golmar beach","3 звезды","Турция, 3 звезды. Вылеты из г. Минск. Цены на ближайшие даты.","Мы сравниваем цены туроператоров и сервисов само бронирования. Узнайте, где дешевле!",v1_Минск_Турция,Expanded text ad,Enabled,https://xn--c1aeixkcni4cza1b.com/?city=%D0%9C%D0%B8%D0%BD%D1%81%D0%BA&country=%D0%A2%D1%83%D1%80%D1%86%D0%B8%D1%8F&hotel=Adaburnu%20golmar%20beach&category=3,Подбор_Тура,Без_Агентств
adalin resort hotel,"Горящие туры — Турция","Adalin resort hotel","4 звезды","Турция, 4 звезды. Вылеты из г. Минск. Цены на ближайшие даты.","Мы сравниваем цены туроператоров и сервисов само бронирования. Узнайте, где дешевле!",v1_Минск_Турция,Expanded text ad,Enabled,https://xn--c1aeixkcni4cza1b.com/?city=%D0%9C%D0%B8%D0%BD%D1%81%D0%BA&country=%D0%A2%D1%83%D1%80%D1%86%D0%B8%D1%8F&hotel=Adalin%20resort%20hotel&category=4,Подбор_Тура,Без_Агентств
adalin resort kemer,"Горящие туры — Турция","Adalin resort kemer","4 звезды","Турция, 4 звезды. Вылеты из г. Минск. Цены на ближайшие даты.","Мы сравниваем цены туроператоров и сервисов само бронирования. Узнайте, где дешевле!",v1_Минск_Турция,Expanded text ad,Enabled,https://xn--c1aeixkcni4cza1b.com/?city=%D0%9C%D0%B8%D0%BD%D1%81%D0%BA&country=%D0%A2%D1%83%D1%80%D1%86%D0%B8%D1%8F&hotel=Adalin%20resort%20kemer&category=4,Подбор_Тура,Без_Агентств
